,good_id,marketplace,name,value
0,221329577,wb,Цвет,серебристый
1,221329577,wb,Гарантийный срок,12 месяцев
2,221329577,wb,Питание,USB; от аккумулятора
3,221329577,wb,Количество режимов работы,36 режимов
4,221329577,wb,Количество насадок,10 шт.
5,221329577,wb,Тип массажера,электроимпульсный; вибромассажер
6,221329577,wb,Зона массажа,ноги; спина; тело
7,221329577,wb,Действие,снятие отечности; улучшение кровообращения; разогревающее
8,221329577,wb,Доп. опции массажера,таймер; электромиостимуляция; эффект иглоукалывания
9,221329577,wb,Страна производства,Китай
10,221329577,wb,Высота предмета,9.5 см
11,221329577,wb,Ширина предмета,7 см
12,221329577,wb,Глубина предмета,1 см
13,221329577,wb,Вес без упаковки (кг),0.07 кг
14,221329577,wb,Вес с упаковкой (кг),0.4 кг
15,221329577,wb,Длина упаковки,17 см
16,221329577,wb,Высота упаковки,9 см
17,221329577,wb,Ширина упаковки,9 см
18,334678554,wb,Цвет,серебристый
19,334678554,wb,Гарантийный срок,12 месяцев
20,334678554,wb,Питание,от аккумулятора
21,334678554,wb,Количество режимов работы,48 режимов
22,334678554,wb,Количество насадок,16 шт.
23,334678554,wb,Тип массажера,электроимпульсный
24,334678554,wb,Зона массажа,тело
25,334678554,wb,Действие,разогревающее; коррекция фигуры; снятие отечности
26,334678554,wb,Мин. продолжительность автономной работы,1200 мин
27,334678554,wb,Доп. опции массажера,вибромассаж; электромиостимуляция; эффект иглоукалывания
28,334678554,wb,Страна производства,Китай
29,334678554,wb,Вес с упаковкой (кг),0.6 кг
30,334678554,wb,Длина упаковки,26 см
31,334678554,wb,Высота упаковки,6 см
32,334678554,wb,Ширина упаковки,19 см
33,221352035,wb,Цвет,серебристый
34,221352035,wb,Гарантийный срок,12 месяцев
35,221352035,wb,Питание,от аккумулятора
36,221352035,wb,Количество режимов работы,36 режимов
37,221352035,wb,Количество насадок,10 шт.
38,221352035,wb,Тип массажера,электроимпульсный
39,221352035,wb,Зона массажа,тело
40,221352035,wb,Действие,разогревающее; коррекция фигуры; снятие отечности
41,221352035,wb,Мин. продолжительность автономной работы,600 мин
42,221352035,wb,Доп. опции массажера,вибромассаж; электромиостимуляция; эффект иглоукалывания
43,221352035,wb,Страна производства,Китай
44,221352035,wb,Высота предмета,12 см
45,221352035,wb,Ширина предмета,6 см
46,221352035,wb,Глубина предмета,1 см
47,221352035,wb,Вес без упаковки (кг),0.09 кг
48,221352035,wb,Вес с упаковкой (кг),0.4 кг
49,221352035,wb,Длина упаковки,17 см
50,221352035,wb,Высота упаковки,9 см
51,221352035,wb,Ширина упаковки,9 см
52,91028354,wb,Цвет,серый
53,91028354,wb,Модель,JR309
54,91028354,wb,Питание,220В (5А); 3 батарейки ААА; USB-шнур
55,91028354,wb,Количество режимов работы,9
56,91028354,wb,Тип массажера,миостимулятор; Массажер электрический; лечение
57,91028354,wb,Зона массажа,ноги; пресс; тело
58,91028354,wb,Действие,для массажа; для тренировки мышц; для похудения
59,91028354,wb,Доп. опции массажера,автовыключение; электромиостимуляция; Регулируемая скорость
60,91028354,wb,Комплектация,миостимулятор; тапочки - 2 шт; Перчатки - 2 шт; носки - 2 шт; нарукавники - 2 шт
61,91028354,wb,Страна производства,Китай
62,91028354,wb,Высота предмета,4 см
63,91028354,wb,Ширина предмета,10 см
64,91028354,wb,Глубина предмета,15 см
65,91028354,wb,Вес без упаковки (кг),0.15 кг
66,91028354,wb,Вес с упаковкой (кг),0.45 кг
67,91028354,wb,Длина упаковки,11 см
68,91028354,wb,Высота упаковки,10 см
69,91028354,wb,Ширина упаковки,27 см
70,169351017,wb,Цвет,белый; синий
