good_id,name,value
1099137205,Артикул,1099137205
1099137205,Тип,Миостимулятор
1099137205,Цвет,Черный
1099137205,Вид массажа,"Акупунктурный, Гуаша, Перкусионный, Расслабляющий, Шиацу"
1099137205,Зоны массажа,"Поясница, Руки, Спина, Шея, Ягодицы"
1099137205,Особенности массажного аппарата,"Работает в автомобиле, Ручные программы, Таймер"
1099137205,"Максимальный рост пользователя, см",220
1099137205,Материал корпуса,Пластик
1099137205,Количество программ/режимов,24
1099137205,Вид питания,"Встроенный аккумулятор, От порта USB"
1099137205,"Мощность массажера, Вт",240
1099137205,"Напряжение, В",4.3
1099137205,"Фактический размер товара, см",12.8*6.3*1.3
1099137205,Упаковка,"Картонная коробка, Подарочная коробка"
1099137205,Страна-изготовитель,Китай
1099137205,Гарантийный срок,10 лет
1099137205,Комплектация,Основной блок - 1 шт. Электроды 50*50 мм - 6 пар 3) Электроды 50*100 мм - 1 пара Соединительный провод - 4 шт. USB-кабель - 1 шт. Адаптер питания - 1 шт. Мешочек для хранения - 1 шт. Руководство пользователя - 1 шт. Гарантийный талон - 1 шт.
1027287506,Артикул,1027287506
1027287506,Тип,Миостимулятор
1027287506,Цвет,Черный
1027287506,Зоны массажа,"Ноги, Поясница, Руки, Спина, Шея, Ягодицы"
1027287506,"Максимальный рост пользователя, см",210
1027287506,Материал корпуса,ABS пластик
1027287506,Количество программ/режимов,6
1027287506,Вид питания,"От сети 220В, Встроенный аккумулятор"
1027287506,"Мощность массажера, Вт",5
1027287506,"Напряжение, В",120
1027287506,"Фактический размер товара, см",23х16х6
1027287506,Упаковка,"Картонная коробка, Конверт"
1027287506,Страна-изготовитель,Китай
1027287506,Гарантийный срок,180 дней
1027287506,"Вид массажа
","Вибрационный, Импульсный, Миостимулирующий, Лимфодренажный, Расслабляющий, Антицеллюлитный"
1027287506,Особенности массажного аппарата,"Подогрев, Пульт ДУ, Ручные программы, Таймер, Работает в автомобиле"
